,Message,Label,Sentiment Label
0,"Back atcha, doll!",2,positive
1,"Your message was blank! Same to you, LOL!",2,positive
2,"Yoo silly! Luv ya much, lil sis.",2,positive
3,You betta be takin' pics!,2,positive
4,Jus bout.,1,neutral
5,No it's MS. No p. And nope.,1,neutral
6,Just as easy to say microwave handle broke again.,0,negative
7,"I slready did,, remembee?",1,neutral
8,Did you call into your old crib to make sure they picked up the package?,0,negative
9,Still waiting on that text...,0,negative
10,BEGIN:VCARD VERSION: <DECIMAL> N:;Burbank TEL;VOICE: <#> END:VCARD,1,neutral
11,Sorry! It's alisa!,1,neutral
12,"Yeah, i was about to point that out. Thanks for savig me that text.",0,negative
13,Now how would that be if i used the gift card you gave me for chicken for you? lol!,2,positive
14,I'm on my way! Alisa,2,positive
15,"Np. Bout to get in the bath n e way, lol!",2,positive
16,You have to sign onto skype and accept my request.,1,neutral
17,later...lol!,2,positive
18,Do you have skype?,1,neutral
19,Certainly. <#> edgerly rd # <#> boston <#>,1,neutral
20,Lol. Cert,1,neutral
21,I know we had figured this out before. I need to look at the paperwork again to remember.,1,neutral
22,"Go to the walk-in clinic, not er.",1,neutral
23,Get. Over. Your. Self. lol!,0,negative
24,Get used 2 it. Welcome 2 womanhood.,0,negative
25,Notthingg 2 b scared of.,1,neutral
26,Were they all to your satisfaction?,0,negative
27,Did you get the drawers??,1,neutral
28,Take ibuprofen now.,0,negative
29,Ydid she get a song to gerself?,1,neutral
30,Ouch!,0,negative
31,Yesssss!! This is what this song should be!,2,positive
32,Is this joelle?,1,neutral
33,Could do without all the dancing tho.,0,negative
34,Now THIS girl is performing!,2,positive
35,Is that what it is? Cuz i'm sittin' here thinkin her tone is like cher.,1,neutral
36,Boring. Bored. Waiting for david. I know he's gonna kill.,1,neutral
37,Everybody on the feed is talkin about how the band is str8 killin! And apparently some girl named kayla is supposed to be good.,1,neutral
38,But i don't think the bgvs look horrible. Look how much space they have to work with.,0,negative
39,Just no excitement in these voices.,0,negative
40,Smh.,0,negative
41,"Ok, when you get home ima play the real version of this song. She kinda sux.",2,positive
42,So glad i'm not there. he is just annoying. Usher?? Really?,0,negative
43,The bread? It's GOOD!!,1,neutral
44,I'll cry.,0,negative
45,Of course. I guess god's just got me on hold right now.,1,neutral
46,You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless.,0,negative
47,Are you busy tonight?,1,neutral
48,"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life.",0,negative
49,Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.,0,negative
50,I don't want you to leave. But i'm barely doing what i can to stay sane. fighting with you constantly isn't helping.,0,negative
51,"Idk. You keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. And i'm tired. I have so much other to deal with that i'm barely keeping myself together once this gets added to it.",0,negative
52,"You are always putting your business out there. You put pictures of your on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated.",0,negative
53,"The last thing i ever wanted to do was hurt you. And i didn't think it would have. You'd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasn't even up. The fact that you even felt like i would do it to hurt you shows you really don't know me at all. It was messy wednesday, but it wasn't bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. You used to be good about at least making the bed.",0,negative
54,Please don't text me anymore. I have nothing else to say.,0,negative
55,I tagged MY friends that you seemed to count as YOUR friends.,1,neutral
