,Message,Sentiment Label
46830,Hahahhah xD,Positive
15475,Thanks for ve lovely wisheds. You rock,Positive
46179,End of march. Hopefully I won't be perpetually ill again,Negative
47666,No problem xP,Positive
46107,Of course I do :) but I have to go soon anyway cause the movie'sgonna start soon :(,Negative
18955,Your room must be redikulusly clean! That's fantastic. This weekend I will clean... everything,Positive
47196,That's make sense lol,Neutral
19027,Lol my cat has a foot fetish. He's always playing with my feet when I try to walk.,Neutral
35168,Yayness,Positive
18824,"Hey mom! I can totally help you with Microsoft when I come back on Friday. I've got $ <#> right now, (books were expensive), and I need to buy milk and put $5 on my laundry card. Do you think before I come up you can transfer me a little cash for gas? That'd be super helpful :)",Positive
11233,"I'm done. I'm sorry. I hope your next space gives you everything you want. Remember all the furniture is yours. If i'm not around when you move it, just lock all the locks and leave the key with jenne.",Negative
14599,My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...,Negative
14030,dude i woke up and i was in an armbar. i think he overextended it too. When i asked him bout why his arm hurt. Rofl,Negative
18809,Hahaha yeah I'm coming home Friday night!,Positive
48556,Not often u do ;),Neutral
47615,"Oh okay.. u just don't wanna crash on you again, so I'm crazy sorry if I do",Negative
18273,They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.,Neutral
18068,Aw,Positive
11306,What type of stuff do you sing?,Neutral
17408,"Aight will do, thanks again for comin out",Positive
15613,Your dad is back in ph?,Neutral
46895,"Post, it's okay, he'll be cured with the power of love!",Neutral
14081,Oh im good hf bub,Positive
14012,I see the letter B on my car,Neutral
47866,<name>? How you do English orthographize it?,Neutral
18209,Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?,Negative
47649,No love,Neutral
46939,Caw caw... I just realised that's are five unnamed heart shards,Neutral
46364,Hahahaha,Positive
18976,Very goot! I love you and I'll talk to you later!,Positive
17613,Yo dude guess who just got arrested the other day,Negative
34796,Should be home by <TIME> pm. Still on bus.,Neutral
35049,i would say a nap is in order...great chatting to you as well..see ya in a few months :),Positive
18391,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!,Negative
19238,Start working tomorrow woohoo!,Positive
46251,Damn xP,Negative
47327,Aww lol,Positive
15590,Ok. No wahala. Just remember that a friend in need ...,Neutral
17837,K and you're sure I don't have to have consent forms to do it :V,Neutral
15526,I will once i get home,Neutral
17219,I AM AT A PARTY WITH ALEX NICHOLS,Neutral
18065,What does the dance river do?,Neutral
15578,So its to be poking man everyday that they teach you in canada abi! How are you. Just saying hi.,Negative
47111,.....after les mis I don't know what to think,Neutral
17331,The basket's gettin full so I might be by tonight,Neutral
17520,"Fair enough, anything going on?",Neutral
17301,Its wylie,Neutral
17234,"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you",Neutral
18538,Still going to be a while. Hope all is ok at home.,Neutral
17621,Like a personal sized or what,Neutral
11172,You have made me a hot chocolate drinker! Drinking Kahlua Hazelnut Coco- hot choc with hazelnut kahlua topped with whipped cream and chocolate syrup. Yummmm!,Positive
18977,Just got out of keyboard and I'm getting ready for rehearsal at seven :),Neutral
46417,We need to meet them at the new place though,Neutral
46931,I thought it was only for <#> hrs in advance?,Neutral
11991,Will do!,Positive
18761,Sounds like fun. I really havent seen what michigan has to offer,Positive
46144,Whhhhaat? Really?,Neutral
17882,Jay says that you're a double-faggot,Negative
17554,"Its ok, called mom instead have fun",Neutral
17394,Sweet,Positive
19097,Oooh buy me a drink,Positive
15308,"Nothing much, chillin at home. Any super bowl plan?",Neutral
47382,"The thing is, people believe in organised religion without buyinginto every aspect of it... plus, lots of churches and things are verychill",Positive
46751,Karate chop lol,Positive
15451,By monday next week. Give me the full gist,Neutral
19002,U know that's your cue to cheer me up... sheesh,Negative
18069,Boring rule,Neutral
14271,O. Thats,Neutral
18303,U think I'm fat?,Negative
46657,Only on yours at least,Neutral
17984,on a Tuesday night r u 4 real,Negative
17530,"Turns out my friends are staying for the whole show and won't be back til ~ <#> , so feel free to go ahead and that $ <#> worth",Neutral
45164,"Hi Ricky, sorry was out of country. Can talk or meet with you at yourconvenience. Let me know. Sorry about the long silence.",Neutral
47067,Definitely. I've got a few k now,Positive
46436,Yeah =/,Negative
46660,You can use it if you want xP,Neutral
46306,"Sorry--don't mean to blow you off, I'm helping with packing haha",Neutral
17296,No luck?,Negative
46196,Sweet! I'll check it out!,Positive
34509,Oh my word. I am a tired tom,Neutral
34812,"Hi Ricky, we're here. Thanks",Positive
47201,Does everyone check in at <#> cram whatever?,Neutral
47500,I need my ID! D=,Negative
46901,Post! ....oh well!,Neutral
14007,Letters of rec,Neutral
46238,No answer =/,Negative
47891,Last minute hw,Neutral
14845,You always make things bigger than they are,Negative
46858,Aight one sec,Neutral
45091,Back in three minutes.,Neutral
17568,<#> am I think? Should say on syllabus,Neutral
18140,Lmao. Take a pic and send it to me.,Neutral
34489,What are you up to?,Neutral
14076,Sup chuck,Neutral
47104,Why don't we just get strings for Mike's? -.-,Negative
18504,Pizza?,Neutral
18438,Lol u off today?,Neutral
11967,Great! I have to run now so ttyl!,Positive
17583,Right outside,Neutral
11961,Yes! I am a one woman man! Please tell me your likes and dislikes in bed...,Negative
18915,Tomorrow at 3 :) just need to make sure my Russian's in good shape. Haha I don't know if that'll happen,Neutral
14824,Good. Very good.,Positive
34474,That's awesome! I'm on mi break,Positive
17866,"""Not really""",Neutral
18080,Wanna join me? :),Positive
13747,Dont let studying stress you out. L8r.,Positive
18889,Haha woooooah. I have no idea,Neutral
46467,</3,Negative
46114,What time will you get there?,Neutral
17582,"Haha alright, omw",Positive
11927,Are you up for the challenge? I know i am :),Positive
47557,Dunno? Lol,Neutral
45120,Any news about the painter? I understand from Alicia that your roofguy will come tomorrow to check the polycarbonate roof.,Neutral
18393,Oh just getting even with u.... u?,Negative
47251,That's true. That's half the point haha,Positive
18254,#1? I'm just pee to you?,Negative
11326,Re your call; You didn't see my facebook huh?,Neutral
17702,Remember to ask alex about his pizza,Neutral
17238,Why the not!,Negative
35084,cant decide what to do,Neutral
46983,PIZZA AND UHAUL MONEYPut table stuff and towels awayPrint ticketsBurritos,Neutral
14260,O we are coming back,Positive
14160,Yo im right by yo work,Neutral
15427,Torch black it <#> . White is <#> . But bold is <#> . They are all new and i will have to ship to you in a few days if you really are interested.,Neutral
46722,"I dunno, I've missed a loooot of class xP",Negative
11228,You are right though. I can't give you the space you want and need. This is really starting to become an issue. I was going to suggest setting a definite move out--if i'm still there-- after greece. But maybe you are ready and should do it now.,Negative
34702,"Hi. Ordering japanese food for you. May be slightly late, is that ok?",Neutral
14838,Lara said she can loan me <#> .,Neutral
17537,Let me know when you've got the money so carlos can make the call,Neutral
46715,What do you mean non-rounding harmony?,Neutral
46119,Ohhaha,Positive
13728,Will purchase d stuff today and mail to you. Do you have a po box number?,Neutral
12036,Sounds yummy!,Positive
