,Message
11149,"Back atcha, doll!"
11150,"Your message was blank! Same to you, LOL!"
11151,"Yoo silly! Luv ya much, lil sis."
11152,You betta be takin' pics!
11153,Jus bout.
11154,No it's MS. No p. And nope.
11155,Just as easy to say microwave handle broke again.
11156,"I slready did,, remembee?"
11158,Did you call into your old crib to make sure they picked up the package?
11159,Still waiting on that text...
11160,BEGIN:VCARD VERSION: <DECIMAL> N:;Burbank TEL;VOICE: <#> END:VCARD
11162,Sorry! It's alisa!
11165,"Yeah, i was about to point that out. Thanks for savig me that text."
11167,Now how would that be if i used the gift card you gave me for chicken for you? lol!
11169,I'm on my way! Alisa
11170,"Np. Bout to get in the bath n e way, lol!"
11171,You have to sign onto skype and accept my request.
11173,later...lol!
11174,Do you have skype?
11176,Certainly. <#> edgerly rd # <#> boston <#>
11177,Lol. Cert
11180,I know we had figured this out before. I need to look at the paperwork again to remember.
11181,"Go to the walk-in clinic, not er."
11183,Get. Over. Your. Self. lol!
11184,Get used 2 it. Welcome 2 womanhood.
11185,Notthingg 2 b scared of.
11187,Were they all to your satisfaction?
11188,Did you get the drawers??
11189,Take ibuprofen now.
11190,Ydid she get a song to gerself?
11191,Ouch!
11195,Yesssss!! This is what this song should be!
11197,Is this joelle?
11198,Could do without all the dancing tho.
11199,Now THIS girl is performing!
11201,Is that what it is? Cuz i'm sittin' here thinkin her tone is like cher.
11202,Boring. Bored. Waiting for david. I know he's gonna kill.
11203,Everybody on the feed is talkin about how the band is str8 killin! And apparently some girl named kayla is supposed to be good.
11204,But i don't think the bgvs look horrible. Look how much space they have to work with.
11205,Just no excitement in these voices.
11206,Smh.
11207,"Ok, when you get home ima play the real version of this song. She kinda sux."
11208,So glad i'm not there. he is just annoying. Usher?? Really?
11209,The bread? It's GOOD!!
11213,I'll cry.
11215,Of course. I guess god's just got me on hold right now.
11216,You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless.
11221,Are you busy tonight?
11223,"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life."
11225,Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.
11226,I don't want you to leave. But i'm barely doing what i can to stay sane. fighting with you constantly isn't helping.
11227,"Idk. You keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. And i'm tired. I have so much other to deal with that i'm barely keeping myself together once this gets added to it."
11230,"You are always putting your business out there. You put pictures of your on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated."
11231,"The last thing i ever wanted to do was hurt you. And i didn't think it would have. You'd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasn't even up. The fact that you even felt like i would do it to hurt you shows you really don't know me at all. It was messy wednesday, but it wasn't bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. You used to be good about at least making the bed."
11232,Please don't text me anymore. I have nothing else to say.
11234,I tagged MY friends that you seemed to count as YOUR friends.
11235,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."
11236,"I NEVERsaid dirty. That is YOUR word, not mine."
11238,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?"
11240,Yes. that will be fine. Love you. Be safe.
11243,what is your account number?
11246,<#> and <#> @ braintree
11247,"!!! ""Nana wants me to stay in the city, so I guess I'll just see u in the morning. Me n jaleah will be at home at like 9."""
11252,Is that what time you want me to come?
11253,Alright. I'm out--have a good night!
11254,And Chuck.
11257,i thought we were doing a king of the hill thing there.
11260,I'm always looking for an excuse to be in the city.
11261,That means from february to april i'll be getting a place to stay down there so i don't have to hustle back and forth during audition season as i have since my sister moved away from harlem.
11263,"Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now."
11264,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
11265,No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.
11266,Yes. I come to nyc for audiitions and am trying to relocate.
11267,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment."
11268,Sorry. You never hear unless you book it. One was kinda a joke--thet were really looking for skinny white girls. The other was one line--you can only do so much on camera with that. Something like that they're casting on the look.
11272,I'm fine. And u?
11274,have a good night!
11275,You up? Taking calls?
11276,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace."
11277,"For you information, IKEA is spelled with all caps. That is not yelling. when you thought i had left you, you were sitting on the bed among the mess when i came in. i said we were going after you got home from class. please don't try and me. It makes me want to listen to you less."
11278,Bull. Your plan was to go floating off to IKEA with me without a care in the world. So i have to live with your mess another day.
11279,"The fact that you're cleaning shows you know why i'm upset. Your priority is constantly ""what i want to do,"" not ""what i need to do."""
11280,"And that is the problem. You walk around in ""julianaland"" oblivious to what is going on around you. I say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do. It's not that you don't know why I'm upset--it's that you don't listen when i tell you WHAT is going to upset me. Then you want to be surprised when I'm mad."
11282,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.
11285,"Do whatever you want. You know what the rules are. We had a talk earlier this week about what had to start happening, you showing responsibility. Yet, every week it's can i bend the rule this way? What about that way? Do whatever. I'm tired of having thia same argument with you every week. And a <#> movie DOESNT inlude the previews. You're still getting in after 1."
11286,"Whatever, juliana. Do whatever you want."
11287,I accidentally deleted the message. Resend please.
11288,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training."
11289,"I don,t think so. You don't need to be going out that late on a school night. ESPECIALLY when the one class you have is the one you missed last wednesday and probably failed a test in on friday"
11290,"Oh really? perform, write a paper, go to a movie AND be home by midnight, huh?"
11292,Nope. Sorry!
11294,Alrighty then.
11295,"Ok, Mr. Vague, lol."
11296,I actually did for the first time in a while. I went to bed not too long after i spoke with you. Woke up at 7. How was your night?
11297,Hola. How are you?
11301,As if i wasn't having enough trouble sleeping.
11302,"The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous because of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?"
11303,Can i get your opinion on something first?
11304,"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!"
11307,Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.
11308,Oh really?? Did you make it on air? What's your talent?
11309,Tired. I haven't slept well the past few nights.
11310,"It,,s a taxt massage....tie-pos argh ok! Lool!"
11311,"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!"
11312,What do you do?
11313,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday."
11314,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
11315,Why are u up so early?
11319,I was about to do it when i texted. I finished a long time ago and showered and er'ything!
11320,"You aren't coming home between class, right? I need to work out and shower!"
11321,SP <#> CMD=REGISTER;ID=4;IMEI= <#> ;SIM= <#> ;MCC= <#> ;MNC= <#> ;
11322,What???? Hello wats talks email address?
11323,Why don't you wait 'til at least wednesday to see if you get your .
11325,"If i let you do this, i want you in the house by 8am."
11327,Oh dang! I didn't mean o send that to you! Lol!
11329,And of course you should make a stink!
11331,You need to get up. Now.
11914,Great! Daddy can't wait to get better and meet you!
11915,Tuesday. I
11917,I
11918,Thank you@?
11919,i am going to bed now prin
11920,ok baby!
11921,"Sorry, I'll call later"
11922,I need you...
11924,What makes you most happy?
11925,I can do that! I want to please you both inside and outside the bedroom...
11928,Great! I hope you like your man well endowed. I am <#> inches...
11929,have you ever had one foot before?
11930,There is a first time for everything :)
11932,"Are you being good, baby? :)"
11933,"I am real, baby! I want to bring out your inner tigress..."
11934,Get ready to put on your excellent sub face :)
11935,Excellent! Are you ready to moan and scream in ecstasy?
11937,"And how you will do that, princess? :)"
11939,"How long has it been since you screamed, princess?"
11940,"Why is that, princess? I bet the brothas are all chasing you!"
11941,ok. I am a gentleman and will treat you with dignity and respect.
11942,That depends. How would you like to be treated? :)
11943,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :)
11944,Have to run. Ttyl!
11945,Hi baby! How are you?
11948,I need you to be in my strong arms...
11950,Hi! This is Roger from CL. How are you?
11951,I am great! How are you?
11952,Great! How is the office today?
11953,Thats cool. i liked your photos. You are very sexy!
11954,Busy here. Trying to finish for new year. I am looking forward to finally meeting you...
11959,"How about clothes, jewelry, and trips?"
11960,I will spoil you in bed as well :)
11962,great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love <#> times per night :)
11963,Yes! How is a pretty lady like you single?
11964,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.
11965,Understand. his loss is my gain :) so do you work? School?
11969,Good morning princess! How are you?
11970,Ok. Good luck!
11971,I doubt you could handle 5 times per night in any case...
11972,I love working from home :)
11974,Hi! How are you?
11977,Spending new years with my brother and his family. Lets plan to meet next week. Are you ready to be spoiled? :)
11978,Sounds great! Are you home now?
11981,excellent. I spent <#> years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?
11983,No kids.
11984,i am seeking a lady in the street and a freak in the sheets. Is that you?
11986,"you are sweet as well, princess. Please tell me your likes and dislikes in bed..."
11988,Great! So what attracts you to the brothas?
11989,Thats cool. i am a gentleman and will treat you with dignity and respect.
11990,"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!"
11992,Hi Princess! Thank you for the pics. You are very pretty. How are you?
11993,Thats cool. How was your day?
11994,Just sent it. So what type of food do you like?
11995,Good evening! How are you?
11996,How about drinks?
11997,soon we will meet :)
11998,Hanging out with my brother and his family
11999,Cool. So how come you havent been wined and dined before?
12001,"If we hit it off, you can move in with me :)"
12003,Thats cool. I want to please you...
12004,Thank you. I like you as well...
12005,Old Orchard near univ. How about you?
12006,Cool. Do you like swimming? I have a pool and jacuzzi at my house.
12008,"Princess, i like to make love <#> times per night. Hope thats not a problem!"
12009,my ex-wife was not able to have kids. Do you want kids one day?
12010,get ready to moan and scream :)
12012,cool. We will have fun practicing making babies!
12013,"Lets use it next week, princess :)"
12016,Do you like Italian food?
12017,I can make lasagna for you... vodka...
12022,Cool. I am <#> inches long. hope you like them big!
12027,What is your record for one night? :)
12029,"Just sent again. Do you scream and moan in bed, princess?"
12030,Have a good evening! Ttyl
12031,Excellent!
12032,On the road so cant txt
12033,Good morning princess! Happy New Year!
12034,No problem baby. Is this is a good time to talk? I called and left a message.
12037,i can call in <#> min if thats ok
12038,Nice talking to you! please dont forget my pix :) i want to see all of you...
12039,Thank you princess! You are so sexy...
12040,Me too baby! I promise to treat you well! I bet you will take good care of me...
12041,I got your back! Do you have any dislikes in bed?
12042,Thats cool. Where should i cum? On you or in you? :)
12044,I will be gentle baby! Soon you will be taking all <#> inches deep inside your tight pussy...
12045,I love to cuddle! I want to hold you in my strong arms right now...
12048,No pic. Please re-send.
12049,I love your ass! Do you enjoy doggy style? :)
12051,Are you wet right now?
12054,Thank you baby! I cant wait to taste the real thing...
12055,Got it! It looks scrumptious... daddy wants to eat you all night long!
12056,"What will we do in the shower, baby?"
12057,I enjoy watching and playing football and basketball. Anything outdoors. And you?
12058,Sounds great! Im going to sleep now. Have a good night!
12059,Good morning princess! Have a great day!
12063,I am taking you for italian food. How about a pretty dress with no panties? :)
12065,Excellent! Wish we were together right now!
12066,So i could kiss and feel you next to me...
12068,I am 6 ft. We will be a good combination!
12069,I want to be there so i can kiss you and feel you next to me
12070,How about 7 pm?
12071,"Princess, is your kitty shaved or natural?"
12073,Be sure to check your yahoo email. We sent photos yesterday
12075,Great! I shoot big loads so get ready!
12076,Thats cool princess! I will cover your face in hot sticky :)
12077,You are gorgeous! keep those pix :) thank you!
12080,Love it! I want to flood that pretty with cum...
12081,"Yes but i dont care! I need you bad, princess!"
12083,I want to be inside you every night...
12084,Yes princess! I want to catch you with my big strong hands...
12085,Prepare to be pounded every night...
12086,i want to grasp your pretty booty :)
12087,yes baby! I need to stretch open your pussy!
12088,Love it! how so baby?
12089,Love it! Daddy will make you scream with pleasure! I am going to slap your with my dick!
12090,We will meet soon princess! Ttyl!
13671,Let me know how to contact you. I've you settled in a room. Lets know you are ok.
13672,"Hey doc pls I want to get nice t shirt for my hubby nice fiting ones my budget is <#> k help pls I will load d card abi hw,keep me posted luv. 2 mj"
13673,I've sent my wife your text. After we buy them she'll tell you what to do. So just relax. We should go get them this wkend.
13676,"Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing"
13677,Too much swagger!
13678,There are no other charges after transfer charges and you can withdraw anyhow you like
13680,About <#> bucks. The banks fees are fixed. Better to call the bank and find out.
